"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GNL2",0,0,1,1,0,0,0,0,7.29220358057314,0.318394083842927,0.442603660356758,0.190225470829591,0.187595366410014,0.00263010441957742,1,0,6,7,1
"GNL3",0,0,1,1,0,0,0,0,6.82457764798007,0.317074678957438,0.742800877148696,0.538074749313244,0.539774532215483,-0.00169978290223893,0,0,18,18,0
"GNL3L",0,0,1,1,0,0,0,0,6.41487855030384,0.293046294685265,1,0,0,0,0,0,0,0,0
"GNLY",0,0,1,1,0,0,0,0,-8.63159066680734,0.28525461223147,0.440031877325461,0.720167623238609,0.683604285177729,0.0365633380608799,2,0,22,24,2
"GNMT",0,0,1,1,0,0,0,0,5.6633916373308,0.0327590965662058,1.98507708827457e-05,0.62001425339248,0.384985061497294,0.235029191895185,0,0,1,1,0
"GNPAT",0,0,1,1,0,0,0,0,6.37515686149883,0.344176808650153,0.244176755325024,0.151581928680346,0.14527050007352,0.00631142860682582,1,0,9,10,1
"GNPDA1",0,0,1,1,0,0,0,0,4.47192903586859,0.57629686897639,0.0600985953703013,0.32888932131106,0.314424392892973,0.0144649284180873,1,0,16,17,1
"GNPDA2",0,0,1,1,0,0,0,0,3.92192203936745,0.611742404224851,0.070822537606079,0.0569075597298331,0.0428868003760289,0.0140207593538041,0,0,12,12,0
"GNPNAT1",0,0,1,1,0,0,0,0,4.16557580707252,0.380554908797559,0.000422552988129272,0.634738310773503,0.596096851411537,0.0386414593619663,0,0,2,2,0
"GNPTAB",0,0,1,1,0,0,0,0,9.21271591235542,0.137484152094291,0.349349049946373,0.551356028932319,0.542272532470109,0.00908349646221029,1,1,13,15,2
"GNPTG",0,0,1,1,0,0,0,0,-5.60037040859659,0.784134218671248,0.501369697984028,0.308183874106804,0.30394840404014,0.00423547006666408,0,0,0,0,0
"GNRH1",0,0,1,1,0,0,0,0,2.2987766268676,0.795705747117585,0.0884779904919635,0.901728360279484,0.916371260512818,-0.014642900233334,0,0,5,5,0
"GNRH2",0,0,1,1,0,0,0,0,-1.22701273354659,0.456773751040661,0.155790504079205,0.448581513495579,0.435531107210468,0.0130504062851105,0,0,1,1,0
"GNRHR",0,0,1,1,0,0,0,0,2.92173932397525,0.468824636122098,0.674511955925124,0.897271916285236,0.890939883013631,0.00633203327160548,0,1,3,4,1
"GNRHR2",0,0,1,1,0,0,0,0,0,0.938678144722926,0.00364278174815218,0.133860243231013,0.0846615728981392,0.0491986703328742,7,0,36,43,7
"GNS",0,0,1,1,0,0,0,0,7.0333936917564,0.761592689608748,0.0667912274018951,0.327997975462575,0.34504176465727,-0.0170437891946953,0,0,6,6,0
"GOLGA1",0,0,1,1,0,0,0,0,6.07008433884451,0.17194152123149,0.219284463859642,0.781868619866107,0.821092782013237,-0.03922416214713,0,0,2,2,0
"GOLGA2",0,0,1,1,0,0,0,0,-5.76031203390251,0.383834024510203,0.132404287262441,0.216300323068329,0.221071671022332,-0.00477134795400333,0,0,0,0,0
"GOLGA2B",0,0,1,1,0,0,0,0,-3.34688263997029,0.741648166723798,1,0,0,0,0,0,0,0,0
"GOLGA2P1",0,0,1,1,0,0,0,0,0,1,0.165374933357381,0.719913768872649,0.785714158275863,-0.0658003894032138,0,0,0,0,0
"GOLGA2P3",0,0,1,1,0,0,0,0,0,0.473438953076761,1,0,0,0,0,0,0,0,0
"GOLGA2P3",0,0,1,1,0,0,0,0,0,0.683868375632495,1,0,0,0,0,0,0,0,0
"GOLGA3",0,0,1,1,0,0,0,0,6.13537894929456,0.496130693008331,0.0730657381672628,0.497230632452482,0.486778506533109,0.0104521259193726,0,0,0,0,0
"GOLGA4",0,0,1,1,0,0,0,0,8.25006184113946,0.213385572372855,0.125195216815588,0.210705847012939,0.198695348014385,0.012010498998554,0,0,2,2,0
"GOLGA5",0,0,1,1,0,0,0,0,5.85703269934354,0.475453208765349,0.0606971783025848,0.145832320303489,0.133330348133433,0.0125019721700562,0,0,0,0,0
"GOLGA6A",0,0,1,1,0,0,0,0,2.34242454347544,0.675660213133711,1,0,0,0,0,0,0,0,0
"GOLGA6B",0,0,1,1,0,0,0,0,-0.703850360137748,0.875904499060923,1,0,0,0,0,0,0,0,0
"GOLGA6C",0,0,1,1,0,0,0,0,1.08822707125269,0.395873003235541,1,0,0,0,0,0,0,0,0
"GOLGA6D",0,0,1,1,0,0,0,0,0,0.774850687178678,1,0,0,0,0,0,0,0,0
"GOLGA6L1",0,0,1,1,0,0,0,0,-1.33607354384454,0.549102497666353,1,0,0,0,0,0,0,0,0
"GOLGA6L10",0,0,1,1,0,0,0,0,-5.216756064099,0.00575163420768976,1,0,0,0,0,0,0,0,0
"GOLGA6L10",0,0,1,1,0,0,0,0,-3.83020901121443,0.196943438860667,1,0,0,0,0,0,0,0,0
"GOLGA6L5",0,0,1,1,0,0,0,0,8.92254384013719,0.213462494253155,1,0,0,0,0,0,0,0,0
"GOLGA6L6",0,0,1,1,0,0,0,0,0.67527670239374,0.196568061775905,1,0,0,0,0,0,0,0,0
"GOLGA6L9",0,0,1,1,0,0,0,0,-4.42253601514254,0.164954009464874,1,0,0,0,0,0,0,0,0
"GOLGA6L9",0,0,1,1,0,0,0,0,-3.03718501876615,0.295154288208129,1,0,0,0,0,0,0,0,0
"GOLGA7",0,0,1,1,0,0,0,0,-5.27876266612414,0.596639308677703,0.942919076878866,0.233606557667546,0.232953697551427,0.000652860116119341,0,0,5,5,0
"GOLGA7B",0,0,1,1,0,0,0,0,3.3481191309586,0.586249366834962,0.218173334854877,0.290021323474126,0.270704058099649,0.0193172653744779,0,0,0,0,0
"GOLGA8A",0,0,1,1,0,0,0,0,-6.88020518574452,0.206324188264993,1,0,0,0,0,0,0,0,0
"GOLGA8B",0,0,1,1,0,0,0,0,-4.63371523350115,0.7888019468412,1,0,0,0,0,0,0,0,0
"GOLGA8C",0,0,1,1,0,0,0,0,-1.92663434255211,0.114434468708306,1,0,0,0,0,0,0,0,0
"GOLGA8DP",0,0,1,1,0,0,0,0,-1.13546430869474,0.338122313913538,1,0,0,0,0,0,0,0,0
"GOLGA8E",0,0,1,1,0,0,0,0,-2.80314023705859,0.134818998304227,1,0,0,0,0,0,0,0,0
"GOLGA8F",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GOLGA8F",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GOLGA8G",0,0,1,1,0,0,0,0,0,0.434426333006625,1,0,0,0,0,0,0,0,0
"GOLGA8G",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GOLGA9P",0,0,1,1,0,0,0,0,-2.82420566652862,0.566869190752223,1,0,0,0,0,0,0,0,0
