"Row.names","p.value_activities","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MUC12",1,0,0,-0.87746752166708,2.51634668442073,-2.2813514992822,0.0327575668820374,0.977208286870888,-4.34656884836937
"MUC13",1,0,0,0.0616020582377819,-3.90466236678703,0.0840616543466254,0.933781445925286,0.990974649407382,-4.67435795509195
"MUC15",1,0,0,0.341465801725791,-6.70544222393907,0.476090528324899,0.63878886624872,0.977208286870888,-4.65758285904911
"MUC16",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MUC17",1,0,0,-0.642859980607033,-2.4027393279497,-0.473382322821507,0.640688451184513,0.977208286870888,-4.65777747769257
"MUC2",1,0,0,-0.373800893492994,-7.40759173185753,-0.956870128578477,0.349218185503935,0.977208286870888,-4.60692659027546
"MUC20",1,0,0,-0.649992756679959,-6.53779094146302,-0.746794930256577,0.463237280830311,0.977208286870888,-4.63287740899365
"MUC21",1,0,0,0.325533034327116,1.55873357815773,0.475540033628794,0.639174788443069,0.977208286870888,-4.65762250547469
"MUC4",1,0,0,-1.21170583491549,-1.78217218121563,-1.04267114476626,0.30862775948422,0.977208286870888,-4.59475648274561
"MUC5B",1,0,0,0.0669511729349677,1.80592260231627,0.109172600209372,0.914073223251559,0.987987447866578,-4.6739838738277
"MUC6",1,0,0,-0.0496532091320829,3.39225508635382,-0.0841955225696745,0.933676253046421,0.990974649407382,-4.67435621825219
"MUC7",1,0,0,-0.141623712366108,-7.16488689965608,-0.236984547653973,0.814901344062188,0.977208286870888,-4.67058017850602
"MUCL1",1,0,0,1.10684631062857,-5.24644115596814,1.14029245968563,0.266647911648939,0.977208286870888,-4.57987564947876
"MUDENG",1,0,0,0.158076443942575,4.88006370243644,0.884062894626189,0.386394594288264,0.977208286870888,-4.61655497835187
"MUL1",1,0,0,-0.117407546992795,3.03985272562028,-0.661134336689794,0.515515057015908,0.977208286870888,-4.64179835452582
"MUM1",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MUM1L1",1,0,0,-0.120029983561772,4.56325153506472,-0.502247156860419,0.620574142980378,0.977208286870888,-4.65564834528179
"MURC",1,0,0,0.821678871353739,-2.78914166973162,1.127835998222,0.27175859888831,0.977208286870888,-4.58183369773687
"MUS81",1,0,0,0.0215679900250381,5.60581805904627,0.137105830826709,0.892216784202259,0.984430319196236,-4.6734537857845
"MUSK",1,0,0,0.015852885246729,-5.04488492485854,0.0160334269314981,0.987354864509932,0.999255269795809,-4.67488317082528
"MUSTN1",1,0,0,0.831767025229511,-2.20210554153096,1.36358598533292,0.186738210361097,0.977208286870888,-4.54203089461809
"MUT",1,0,0,0.12605079276997,4.71299485908841,0.561919784879077,0.579953986887313,0.977208286870888,-4.6508659374001
"MUTED",1,0,0,-0.175710062972755,4.69123929830278,-0.976392352064459,0.339676609549718,0.977208286870888,-4.6042345702042
"MUTYH",1,0,0,0.170712060837497,0.559827497202502,0.581452486775707,0.566952994146533,0.977208286870888,-4.64919009325663
"MVD",1,0,0,0.462953013787206,3.5615448281854,1.69394230732476,0.104645299413858,0.977208286870888,-4.47775408600255
"MVK",1,0,0,0.461690453830799,4.04824917559904,2.17954498658623,0.0404852792372654,0.977208286870888,-4.37037458754276
"MVP",1,0,0,0.122250022897635,6.64713849427165,0.395031098499218,0.696692919060403,0.977208286870888,-4.66294278940869
"MX1",1,0,0,0.118970864674002,4.69271084510991,0.191423551784408,0.849981304033536,0.978643069353835,-4.67208019816664
"MX2",1,0,0,-0.215693538815116,4.75803561911181,-0.401254774814113,0.692173531481644,0.977208286870888,-4.66256556036157
"MXD1",1,0,0,0.0784004597374173,4.8646087129823,0.212930752289033,0.833377252342061,0.977208286870888,-4.67141155705012
"MXD3",1,0,0,-0.539361921132347,2.34514522141006,-1.85263023733813,0.0776461691543327,0.977208286870888,-4.44404399073333
"MXD4",1,0,0,-0.0436350240340677,3.71279900789467,-0.212480744750843,0.833723883706437,0.977208286870888,-4.67142627062018
"MXI1",1,0,0,-0.428557498452945,5.78287888676515,-0.764381334195097,0.452908110090032,0.977208286870888,-4.63092369987142
"MXRA5",1,0,0,-0.891608046951005,-4.92614103954624,-0.658783063560979,0.516995013277386,0.977208286870888,-4.64202911098248
"MXRA7",1,0,0,0.0712075159928562,1.44348052964287,0.139596106251027,0.890272243663076,0.984430319196236,-4.67340070721294
