"tf","target","mor","likelihood","state","mor_cytoscape"
"CEBPA","HSD17B11",0.970725070612968,1,"activation",0.970725070612968
"CEBPA","HSPA4",0.993793442211462,1,"activation",0.993793442211462
"CEBPA","ICAM1",0.869425223386945,1,"activation",0.869425223386945
"CEBPA","ID1",0.987129835196918,1,"activation",0.987129835196918
"CEBPA","IGF1",0.607014731603529,1,"activation",0.607014731603529
"CEBPA","IGF2",-0.582147977279248,1,"inhibition",0.582147977279248
"CEBPA","IGFBP1",0.890379559867875,1,"activation",0.890379559867875
"CEBPA","IL10",0.50063097571757,1,"activation",0.50063097571757
"CEBPA","IL12B",0.570588161222151,1,"activation",0.570588161222151
"CEBPA","IL1A",0.439225798073508,1,"activation",0.439225798073508
"CEBPA","IL3",0.431522747799067,1,"activation",0.431522747799067
"CEBPA","IL4",-0.889699695805911,1,"inhibition",0.889699695805911
"CEBPA","IL5",0.339667969007626,1,"activation",0.339667969007626
"CEBPA","IL6",-0.459170460729127,1,"inhibition",0.459170460729127
"CEBPA","INSR",0.998555414436517,1,"activation",0.998555414436517
"CEBPA","IRS1",-0.397090298132316,1,"inhibition",0.397090298132316
"CEBPA","ITGA2",0.873447446136304,1,"activation",0.873447446136304
"CEBPA","ITGAL",-0.990679867788704,1,"inhibition",0.990679867788704
"CEBPA","ITGAX",0.476939411330119,1,"activation",0.476939411330119
"CEBPA","ITGB2",0.742035516534772,1,"activation",0.742035516534772
"CEBPA","KCNH8",-0.771251354908843,1,"inhibition",0.771251354908843
"CEBPA","KCNMA1",0.471698097733492,1,"activation",0.471698097733492
"CEBPA","LBP",0.999626908837279,1,"activation",0.999626908837279
"CEBPA","LDLR",-0.426626230537514,1,"inhibition",0.426626230537514
"CEBPA","LEP",-0.842521769313023,1,"inhibition",0.842521769313023
"CEBPA","LIPC",-0.00614215062446148,1,"inhibition",0.00614215062446148
"CEBPA","LTF",0.636314350650273,1,"activation",0.636314350650273
"CEBPA","MAD1L1",0.89097073991286,1,"activation",0.89097073991286
"CEBPA","MAT2A",0.985360712299152,1,"activation",0.985360712299152
"CEBPA","MME",0.356075424252577,1,"activation",0.356075424252577
"CEBPA","MMP11",0.975055819744422,1,"activation",0.975055819744422
"CEBPA","MSR1",0.338510968228791,1,"activation",0.338510968228791
"CEBPA","MYBL1",0.799967590256663,1,"activation",0.799967590256663
"CEBPA","MYC",-0.0423657581665711,1,"inhibition",0.0423657581665711
"CEBPA","NFYA",0.948967620745968,1,"activation",0.948967620745968
"CEBPA","NFYC",0.548212604467834,1,"activation",0.548212604467834
"CEBPA","NR5A1",0.994886441508876,1,"activation",0.994886441508876
"CEBPA","PCK1",0.382601461685339,1,"activation",0.382601461685339
"CEBPA","PCK2",0.673348751176563,1,"activation",0.673348751176563
"CEBPA","PCNA",0.934600888181364,1,"activation",0.934600888181364
"CEBPA","PER2",0.984062295712314,1,"activation",0.984062295712314
"CEBPA","PPARG",0.619836131397771,1,"activation",0.619836131397771
"CEBPA","PTGS2",0.368025031930376,1,"activation",0.368025031930376
"CEBPA","RB1",-0.124630879229146,1,"inhibition",0.124630879229146
"CEBPA","RNASE2",0.708695032686022,1,"activation",0.708695032686022
"CEBPA","S100A9",0.749498650292555,1,"activation",0.749498650292555
"CEBPA","SAA1",-0.893340894201636,1,"inhibition",0.893340894201636
"CEBPA","SCD",-0.307391216050174,1,"inhibition",0.307391216050174
"CEBPA","SERPINC1",-0.996784238500031,1,"inhibition",0.996784238500031
"CEBPA","SFTPD",0.439225798073508,1,"activation",0.439225798073508
"CEBPA","SLC10A1",0.996121739111949,1,"activation",0.996121739111949
"CEBPA","SLC9A1",0.899539532885285,1,"activation",0.899539532885285
"CEBPA","SMYD2",0.890379559867875,1,"activation",0.890379559867875
"CEBPA","SOCS3",-0.932477547359804,1,"inhibition",0.932477547359804
"CEBPA","SOD1",0.393692533203696,1,"activation",0.393692533203696
"CEBPA","SP1",-0.987597983597116,1,"inhibition",0.987597983597116
"CEBPA","SPI1",0.841680609517931,1,"activation",0.841680609517931
"CEBPA","SPP1",0.40491001043673,1,"activation",0.40491001043673
"CEBPA","SREBF1",0.995382196711225,1,"activation",0.995382196711225
"CEBPA","SREBF2",0.720045013144599,1,"activation",0.720045013144599
"CEBPA","STAR",0.990245139748042,1,"activation",0.990245139748042
"CEBPA","STAT3",0.575830308068483,1,"activation",0.575830308068483
"CEBPA","TF",0.571899664902217,1,"activation",0.571899664902217
"CEBPA","THOC1",-0.979615745421135,1,"inhibition",0.979615745421135
"CEBPA","TIMP2",0.998980857791079,1,"activation",0.998980857791079
"CEBPA","TK1",0.509876810285636,1,"activation",0.509876810285636
"CEBPA","TNFAIP3",0.928970923343391,1,"activation",0.928970923343391
"CEBPA","TNFRSF1A",-0.131468168007079,1,"inhibition",0.131468168007079
"CEBPA","TOP2A",0.927289810251307,1,"activation",0.927289810251307
"CEBPA","TSC22D3",-0.727929958624798,1,"inhibition",0.727929958624798
"CEBPA","UBE2L3",0.906522593452929,1,"activation",0.906522593452929
