"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y","logFC_Rel_vs_R","P.Value_Rel_vs_R"
"STX18",1,0,0,0.184763141915547,4.17585880165897,0.916958955865761,0.369286859412394,0.977208286870888,-4.61228578747821,1,0,0,-0.221510386950847,0.425217433228942
"STX19",1,0,0,0.0107249921998571,4.1019003201252,0.0599013693707404,0.95278481574209,0.994822661287847,-4.67462619712535,1,0,0,-0.284828566824192,0.218498051769205
"STX1A",1,0,0,-0.46420242195834,-4.4447394349275,-0.547516433706004,0.589635857410048,0.977208286870888,-4.65206696555969,1,0,0,0.0705502593294245,0.95009402478747
"STX1B",1,0,0,0.268761455880239,-0.80434213059614,0.325071588649369,0.74825370763884,0.977208286870888,-4.66678653520194,1,0,0,1.36594332914051,0.190302938900256
"STX2",1,0,0,0.258237565351847,-1.00343907457019,0.41842307548435,0.679767723341115,0.977208286870888,-4.66149525461234,1,0,0,0.389853498533939,0.596323740078782
"STX3",1,0,0,-0.437923319703271,3.24459629169563,-1.35425441588713,0.189650835240339,0.977208286870888,-4.54371119296001,1,0,0,-0.35284396605745,0.304924312923694
"STX4",1,0,0,-0.617701621253098,4.85784237380411,-1.31296458403707,0.202970171884201,0.977208286870888,-4.55104705712166,1,0,0,0.244710088113857,0.632880438231886
"STX5",1,0,0,0.322308626541777,5.65341571182458,2.44004521700424,0.0233694104681176,0.977208286870888,-4.30890673665949,1,0,0,0.332075062179862,0.0706423406728716
"STX6",1,0,0,0.0451777257275356,5.44244035745913,0.278707841199169,0.783119226269922,0.977208286870888,-4.66892953520181,1,0,0,0.356084223902105,0.101169535385651
"STX7",1,0,0,0.0805946151781649,4.24278714221481,0.399622668387262,0.693357576281993,0.977208286870888,-4.66266504045403,1,0,0,0.0678800157450281,0.7204108040532
"STX8",1,0,0,-0.14874050121483,5.44969806606826,-0.772031203859132,0.448458827001448,0.977208286870888,-4.63006105251282,1,0,0,-0.0371696781290085,0.850033283315163
"STXBP1",1,0,0,-0.0755717108757334,4.48960432251957,-0.390416112549504,0.700051609711002,0.977208286870888,-4.66321880600166,1,0,0,0.303119044165253,0.130047241765423
