"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"4035","FLVCR1",2.4171529095123,1616.79516236603,1.20880632341202,0.232552208527402,0.815943182299364,-4.59322000326674,1,0,3,4,1
"4036","FLVCR2",3.16848842152909,1585.53613427418,1.58638159929234,0.119101417355512,0.73640368522022,-4.58896020027375,0,0,4,4,0
"4037","FLYWCH1",2.8274675271807,1985.71087265956,2.31280884469197,0.0249847697068652,0.649823788672128,-4.57834414789876,0,0,1,1,0
"4038","FLYWCH2",-1.73312636441669,545.699932334703,-0.883561286365394,0.381258209263697,0.877764529937754,-4.59606239069152,0,0,1,1,0
"4039","FMN1",2.72313910655259,620.516479653374,1.37278816672472,0.176083918665213,0.77304547669561,-4.59149014492021,0,3,36,39,3
"4040","FMN2",0,0.170406148097535,0,1,1,-4.59942012403346,0,0,1,1,0
"4041","FMNL1",3.53543906036493,40919.6956261373,0.505860445653838,0.615228412103904,0.978625377088986,-4.59830780736384,5,0,28,33,5
"4042","FMNL2",2.22296320914406,798.877644829363,0.556754347651455,0.58023556062279,0.965972046036651,-4.59807420621534,3,3,50,56,6
"4043","FMNL3",3.0036074313984,4192.96651104582,1.24788517591935,0.218018027730578,0.805788496244864,-4.59282516712561,1,0,21,22,1
"4044","FMO1",0.675420131845666,7.64028036216851,0.502104842142083,0.617848168313321,0.979222698947991,-4.5983241780804,0,0,2,2,0
"4045","FMO2",-1.54417043458986,16.3465945153408,-1.88594471240872,0.0652515768715527,0.696897404501674,-4.58492891115617,0,0,3,3,0
"4046","FMO4",1.44908742572612,298.196848160718,0.634734102634417,0.5285617346676,0.939579864269595,-4.59767406495232,0,0,2,2,0
"4047","FMO5",2.49489913598454,621.288337393858,3.04342437712835,0.00375846200885471,0.55401537736098,-4.56537258073582,0,1,2,3,1
"4048","FMOD",-1.21883998459317,11.6211205791198,-1.36111905940968,0.179718235718459,0.776672899691131,-4.5916195044198,6,0,21,27,6
"4049","FN1",3.82361671753993,4943.21120990476,0.982268970652348,0.330804372472927,0.85697535943051,-4.59528553027642,0,8,40,48,8
"4050","FNBP1",3.62543872119682,14697.6479188786,2.27910051836858,0.0270656020898315,0.655951005102692,-4.57889566447325,0,0,12,12,0
"4051","FNBP4",3.64952949928833,13007.6679875741,1.63754882869724,0.107938389173265,0.728554519149754,-4.58831008099968,3,0,37,40,3
"4052","FNDC1",0.330533615653173,6.93820002067618,0.401290815212812,0.689954995079421,1,-4.5987187961705,1,1,10,12,2
"4053","FNDC3A",3.48564604393236,15690.353930825,2.09731979583723,0.0411602554719151,0.675717149647406,-4.58178064645902,1,1,5,7,2
