"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"402","COX7A2L",-1678.82227091486,4128.90421510148,-2.79176002845873,0.00745917716330682,0.565705210983799,-4.57003103747426,1,0,5,6
"403","CPVL",-4706.3978578938,4613.70973541875,-2.69295378391791,0.00967409091224346,0.579058558780744,-4.57181149041703,1,0,10,11
"404","CSNK1A1L",-203.366402798781,220.063565284411,-2.46501803047624,0.0172615950735937,0.615308093686932,-4.57579438512249,0,2,7,9
"405","CSRP1",-408.697898026992,1807.0189608564,-2.02392253160346,0.0484619963134921,0.693353658000335,-4.58290023600235,1,0,17,18
"406","DCPS",-588.635050814352,2419.97385288007,-2.2341624239032,0.0300788620170289,0.66487275757254,-4.57962310170728,0,1,13,14
"407","DENND2C",-322.653371995755,208.720881994455,-2.60909022670565,0.0120122020120584,0.603003093519485,-4.57329813407475,1,0,4,5
"408","DENND5B",-514.638882402508,1133.38373886932,-2.34303291981794,0.0232416968125483,0.647078883899747,-4.57784546826887,0,1,5,6
"409","DOC2A",-273.180185308112,317.763821484433,-2.06132860830162,0.0446113012999252,0.68092809478262,-4.58233304586962,3,0,19,22
"410","DPAGT1",-801.155071063919,3569.86839387647,-2.33433292971507,0.023731937927183,0.649071172185619,-4.57798941217411,3,1,21,25
"411","DUSP13",-79.6166066070845,56.1361406158934,-2.1656921464553,0.0352420093294335,0.670617873206242,-4.58071374364353,3,0,6,9
"412","DUSP19",-90.060514205694,165.430336885569,-2.30362760286116,0.0255369011637102,0.651724305620289,-4.57849485650772,2,0,4,6
"413","DUSP26",-3.93428961280531,2.15224737179185,-2.41049180248902,0.019737985511379,0.631798013888115,-4.5767186337824,0,1,6,7
"414","EFS",-6.14834086042266,2.12423928330372,-2.2056779419627,0.0321393984369849,0.668413443462454,-4.58007946244373,0,1,1,2
"415","ELL2",-1367.24931110691,2392.15561130039,-2.52567523133002,0.014839580366232,0.607529672626876,-4.57475271036501,1,10,38,49
"416","ELOVL5",-1932.19556470636,6065.4675308147,-2.72447418231661,0.00890918415248275,0.567261071437225,-4.57124678761002,0,3,24,27
"417","ELTD1",-18.2046664469242,9.55466878996341,-2.12006314279762,0.0391017238275103,0.670617873206242,-4.58142826972216,1,1,1,3
"418","EPB41L1",-170.786954367504,165.451491088769,-2.22530580982966,0.0307066411629648,0.66487275757254,-4.57976539483398,2,0,0,2
"419","EPOR",-2279.65815146417,2725.72763807242,-2.24404072573329,0.0293920999949347,0.662443342755744,-4.57946397361754,1,0,4,5
"420","ETV3L",-5.47338882857405,3.42166296588717,-3.31242766632278,0.0017454409341552,0.46438376626021,-4.56023585745549,1,0,3,4
"421","FABP5",-938.819051187219,1469.15448267805,-2.53545381284777,0.0144793744194055,0.607529672626876,-4.57458349169727,1,3,15,19
"422","FAM129C",-1045.65110197558,624.089355742147,-2.11152034169482,0.0398641325039915,0.670617873206242,-4.58156092606808,1,0,1,2
"423","FAU",-4849.52686036034,22669.3887920469,-2.46646169076963,0.0172000242373508,0.615308093686932,-4.57576975584282,1,0,14,15
"424","FBLIM1",-8.79993052228375,6.59769209082713,-2.06171483917956,0.0445729704154713,0.68092809478262,-4.58232715236402,1,0,12,13
"425","FBXL7",-4.78122653271519,1.22805535848894,-2.56627611256587,0.0133953987921294,0.607529672626876,-4.57404782838964,0,3,8,11
"426","FCER1A",-1184.01265611836,1607.17396275342,-2.02754724040084,0.0480766634220781,0.692913300211431,-4.5828455873369,3,0,4,7
"427","FLT1",-96.0915997542755,110.12392154338,-2.32936451670246,0.0240160359214152,0.649071172185619,-4.57807147183112,0,1,25,26
"428","FOXD3",-7.04503447220546,2.73420704457813,-2.12782192710692,0.0384203778110814,0.670617873206242,-4.58130747967614,0,1,2,3
"429","FZD3",-622.384854963306,469.605838244681,-3.2585812869602,0.00204055670166372,0.494131532841729,-4.56127474244343,1,0,9,10
"430","GALNS",-2123.61948683262,5905.27075798274,-2.24931496773925,0.0290311463289839,0.662443342755744,-4.57937883111295,1,0,9,10
"431","GATM",-733.811742878068,666.877885381504,-2.78131733763887,0.00766890753955161,0.565705210983799,-4.57022061505617,3,1,31,35
"432","GCSH",-218.39532941704,405.259024523329,-2.16164459009256,0.0355703051094174,0.670617873206242,-4.58077752926202,1,0,2,3
"433","GGH",-407.430215968079,684.712101750394,-2.22639514177049,0.0306288060740433,0.66487275757254,-4.57974791257081,2,0,13,15
"434","GJB6",-187.970799946488,139.84394866139,-2.20523429999585,0.0321724541042428,0.668413443462454,-4.58008654069737,2,0,14,16
"435","GNG5",-755.27057086473,3033.62705416701,-2.02451211878002,0.0483991374063043,0.693353658000335,-4.58289135157575,0,1,23,24
"436","GPR63",-87.8920453375898,69.2285749967307,-3.01633854592868,0.00405246113577886,0.55401537736098,-4.56588158064461,0,1,0,1
"437","GPR84",-524.734691990328,539.204862399132,-2.2433495602964,0.0294396950740285,0.662600460961936,-4.57947512186042,11,0,19,30
"438","GRB10",-2792.25903281568,5248.75478412916,-2.36412454588101,0.0220906132439356,0.64025493504271,-4.5774951774062,2,0,23,25
