"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60","MOLM14"
"LINC02149",0.231088895173924,0.0883170089465955,0.280726409099455,1,0,0
"LINC02150",-0.00743469979012668,0.950071682147354,0.983018011997196,1,0,0
"LINC02152",-0.224968320361232,0.15645162735617,0.405176777880391,1,0,0
"LINC02153",-0.0752596721068102,0.482086242539891,0.740588449551927,1,0,0
"LINC02158",0.0710380531016286,0.524261222369947,0.768938449496921,1,0,0
"LINC02159",0.447429756012641,0.00814999232514525,0.0475803722231395,1,0,0
"LINC02160",0.106605586118076,0.380150308777675,0.659841991121159,1,0,0
"LINC02161",-0.119255784807618,0.362317404356351,0.643645153424196,1,0,0
"LINC02162",0.0606405592951766,0.478029820815929,0.73778137313436,1,0,0
"LINC02165",-0.31055170292316,0.027601333511902,0.122854117458713,1,0,0
"LINC02167",0.097755888183122,0.284181938122584,0.567506535674274,1,0,0
"LINC02168",-0.26537162850392,0.0997879687459516,0.304532501579583,1,0,0
"LINC02169",-0.216135272701127,0.0641637589186578,0.226125165107248,1,0,0
"LINC02171",-0.0195502909252347,0.845641628408887,0.941011709324851,1,0,0
"LINC02172",0.0272442324000393,0.849516532446088,0.943033704351178,1,0,0
"LINC02173",-0.130519918618514,0.252652243894194,0.532068160285742,1,0,0
"LINC02175",-0.150980899139814,0.161099243046064,0.412330710293291,1,0,0
"LINC02176",-0.159996578020015,0.0989233225850242,0.302548159662383,1,0,0
"LINC02180",0.0907365862716301,0.522221844854969,0.767269576510258,1,0,0
"LINC02181",0.0560933182582102,0.572160981272563,0.798660356403703,1,0,0
"LINC02182",-0.214476601371754,0.267563639078964,0.549569400723906,1,0,0
"LINC02185",0.326892403083324,0.0161876829985519,0.0818729364525383,1,0,0
"LINC02186",-0.0814917755375215,0.588367705151607,0.808553189643062,1,0,0
"LINC02189",0.0634167547118714,0.50419438187938,0.755617599502045,1,0,0
"LINC02192",-0.106907532211594,0.344580532599732,0.627325877437094,1,0,0
"LINC02195",0.056999332001308,0.600052315596445,0.816170224628071,1,0,0
"LINC02197",0.160791178397239,0.16307961059482,0.415223821504533,1,0,0
"LINC02198",-0.0488632074687132,0.742503636418403,0.893881797457059,1,0,0
"LINC02199",-0.0730876066265047,0.53301694563017,0.775138886048781,1,0,0
"LINC02200",-0.11400879665347,0.429971287695109,0.701319376136184,1,0,0
"LINC02201",0.0722462504796177,0.50137151264327,0.753650101240241,1,0,0
"LINC02202",-0.20447798907681,0.0675199878835872,0.234121398845909,1,0,0
"LINC02204",-0.18055666951198,0.235210822437206,0.510107912040971,1,0,0
"LINC02205",0.129678879926157,0.221363427212777,0.493814973033803,1,0,0
"LINC02207",0.14478802133452,0.237006428323638,0.512629540014865,1,0,0
"LINC02208",-0.112510888988766,0.44449933464335,0.713127493284635,1,0,0
"LINC02209",-0.12252548959442,0.326890907464415,0.610523560327273,1,0,0
"LINC02210",1.4276859764921,5.62822552833329e-10,2.63093782173187e-08,1,0,0
