"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"HOXA13",10,3,41,54,18.5185185185185,13
"HOXA7",10,0,13,23,43.4782608695652,10
"IGF2BP3",10,0,29,39,25.6410256410256,10
"IMMP1L",10,2,43,55,18.1818181818182,12
"ING4",10,3,43,56,17.8571428571429,13
"INPP5A",10,1,45,56,17.8571428571429,11
"ITGA5",10,0,12,22,45.4545454545455,10
"ITK",10,5,47,62,16.1290322580645,15
"JRKL",10,2,44,56,17.8571428571429,12
"KPNA5",10,9,94,113,8.84955752212389,19
"MARCH6",10,2,118,130,7.69230769230769,12
"MCPH1",10,1,97,108,9.25925925925926,11
"MIR1290",10,0,40,50,20,10
"MIR130A",10,0,55,65,15.3846153846154,10
"MIR620",10,2,22,34,29.4117647058824,12
"MRPS18C",10,4,25,39,25.6410256410256,14
"MSL1",10,2,36,48,20.8333333333333,12
"MYL12B",10,6,66,82,12.1951219512195,16
"NKX2",10,1,45,56,17.8571428571429,11
"NRN1",10,1,17,28,35.7142857142857,11
"PDX1",10,0,9,19,52.6315789473684,10
"PDX1-AS1",10,0,9,19,52.6315789473684,10
"PEX11B",10,1,40,51,19.6078431372549,11
"PLXND1",10,0,26,36,27.7777777777778,10
"PPP1R2",10,1,15,26,38.4615384615385,11
"PRMT3",10,2,27,39,25.6410256410256,12
"REG4",10,0,47,57,17.5438596491228,10
"RNF144A",10,2,44,56,17.8571428571429,12
"RNF144A-AS1",10,2,44,56,17.8571428571429,12
"RNU6-402P",10,9,76,95,10.5263157894737,19
"RP1-170O19.21",10,0,13,23,43.4782608695652,10
"RP1-43E13.2",10,2,63,75,13.3333333333333,12
"RP11-1055B8.6",10,0,18,28,35.7142857142857,10
"RP11-1055B8.7",10,0,18,28,35.7142857142857,10
"RP11-115C21.2",10,1,97,108,9.25925925925926,11
"RP11-382A20.7",10,6,63,79,12.6582278481013,16
"RP11-47I22.4",10,1,80,91,10.989010989011,11
"RP11-496B10.3",10,3,57,70,14.2857142857143,13
"RP11-536G4.2",10,3,27,40,25,13
"RP11-753H16.3",10,0,12,22,45.4545454545455,10
"RP11-872D17.8",10,1,55,66,15.1515151515152,11
"RP13-270P17.1",10,6,66,82,12.1951219512195,16
"SIRT5",10,1,58,69,14.4927536231884,11
"SLC43A3",10,1,55,66,15.1515151515152,11
"SNRPF",10,3,27,40,25,13
"SNX18",10,3,41,54,18.5185185185185,13
"TTC14",10,3,57,70,14.2857142857143,13
